Date,Category,Fund,Amount,Note
2016-09-12,Insurance,Auto Insurance,649.8,Geico
2016-07-31,Food,Groceries,39.37,Sam's
2016-08-01,Food,Groceries,16.06,Aldi's
2016-08-01,Food,Groceries,36.65,Aldi's
2016-08-01,Food,Groceries,4.15,Walmart
2016-08-02,Food,Restaurants,15.83,Captain D's
2016-08-03,Insurance,Health Insurance,151.21,BCBS
2016-08-03,Food,Restaurants,4.37,Aramark
2016-08-03,Housing,First Mortgage / Rent,998.71,Rent + Pet Fee
2016-08-04,Food,Restaurants,7.65,Aramark
2016-08-04,Food,Groceries,12.51,Walmart
2016-08-05,Food,Restaurants,40,Soccer Taco
2016-08-06,Utilities,Internet,52.73,Comcast
2016-08-07,Food,Groceries,23.05,Walmart
2016-08-08,Housing,Down Payment,-60.98,Target Lamp Refund
2016-08-08,Medical / Health,Medications,19,Kroger Abreva
2016-08-08,Personal,Toiletries,8,Kroger Tampons
2016-08-08,Food,Groceries,12.03,Kroger
2016-08-08,Utilities,Phone / Mobile,20,Joy Cell Phone Darren
2016-08-08,Food,Groceries,3.27,Drinks
2016-08-08,Food,Restaurants,10.26,McDonalds
2016-08-08,Utilities,Internet,0,REPEAT
2016-08-09,Food,Groceries,9.26,Target
2016-08-09,Utilities,Electricity,54.56,KUB
2016-08-09,Transportation,Gas & Oil,20.3,Weigels
2016-08-09,Food,Groceries,7.79,Sams Club
2016-08-09,Transportation,Gas & Oil,23.11,Kroger
2016-08-09,Food,Groceries,-17.94,Sam's Book Return
2016-08-10,Food,Groceries,10.05,Walmart
2016-08-10,Personal,Gifts (Including Christmas),45.72,Present
2016-08-10,Personal,Gifts (Including Christmas),21.95,Present
2016-08-11,Personal,Education / Tuition,16.91,AbeBooks
2016-08-11,Personal,Gifts (Including Christmas),51.92,ALDI - Darrens BDay
2016-08-11,Housing,Down Payment,9,Kroger - Pillow Cases
2016-08-11,Personal,Gifts (Including Christmas),17.65,Kroger - Darren BDay
2016-08-12,Food,Restaurants,18.54,China Lee
2016-08-13,Personal,Toiletries,15.45,Walmart - Paper towels
2016-08-13,Personal,Pocket Money (His),-25,Grandma Linda
2016-08-14,Food,Groceries,1.91,Walmart
2016-08-14,Personal,Pocket Money (His),-40,Grandma Pat
2016-08-15,Food,Restaurants,10.8,Hibachi Grill
2016-08-15,Personal,Gifts (Including Christmas),15.07,ALDI - Justins Bday
2016-08-15,Food,Restaurants,11.29,IHOP
2016-08-15,Housing,Down Payment,188,UT Parking
2016-08-16,Transportation,Gas & Oil,24.63,Gas in Georgia
2016-08-17,Food,Restaurants,7.34,Twin Peaks
2016-08-18,Food,Restaurants,6.42,Mooyah
2016-08-18,Food,Restaurants,6.42,Mooyah - Darren
2016-08-19,Food,Groceries,8.71,Walmart
2016-08-19,Food,Groceries,28.34,ALDI
2016-08-22,Food,Restaurants,35.59,Pelanchos Mexican
2016-08-22,Food,Groceries,48.36,ALDI
2016-08-22,Food,Groceries,21.4,Kroger
2016-08-23,Transportation,Gas & Oil,22,Pilot
2016-08-24,Food,Groceries,8.71,Walmart
2016-08-25,Food,Restaurants,14.25,Twisted Mikes
2016-08-26,Food,Groceries,3.93,Aldi
